"identifier"	"XCOOR"	"YCOOR"
"1"	"Moist Forest"	50.220073506836	-15.9883370132715
"2"	"Moist Forest"	47.1605312195742	-24.9289994749365
"3"	"Moist Forest"	46.6846024193335	-25.2009587893597
"4"	"Moist Forest"	46.6166125907277	-24.4020783032414
"5"	"Moist Forest"	46.8715744479995	-24.2830961031812
"6"	"Moist Forest"	46.3786481906073	-23.9261495030007
"7"	"Moist Forest"	45.766739733155	-24.351085931787
"8"	"Moist Forest"	45.6817524473977	-24.1131215316666
"9"	"Moist Forest"	46.2596659905471	-23.5182105313657
"10"	"Moist Forest"	45.5627702473375	-22.6173453023387
"11"	"Moist Forest"	45.5117778758832	-21.393528387434
"12"	"Moist Forest"	45.8347295617608	-21.1895589016165
"13"	"Moist Forest"	45.9367143046695	-20.3566835011952
"14"	"Moist Forest"	45.6647549902462	-19.5578030150769
"15"	"Moist Forest"	45.3757982186715	-18.2829937287178
"16"	"Moist Forest"	44.8148821326735	-18.0620267857489
"17"	"Moist Forest"	44.7468923040677	-17.7390750998713
"18"	"Moist Forest"	46.7525922479393	-17.5011106997509
"19"	"Moist Forest"	48.2313710201159	-15.9543420989686
"20"	"Moist Forest"	48.6563074489022	-16.1073192133316
"21"	"Moist Forest"	48.8432794775682	-15.8353598989084
"22"	"Moist Forest"	48.5883176202964	-15.2404488986075
"23"	"Moist Forest"	48.3843481344789	-13.9486421550969
"24"	"Moist Forest"	49.1492337062944	-13.727675212128
"25"	"Moist Forest"	49.3871981064147	-13.200754040433
"26"	"Moist Forest"	49.9991065638671	-13.2347489547359
"27"	"Moist Forest"	50.5090302784107	-15.223451441456
"28"	"Moist Forest"	50.220073506836	-15.9883370132715
"29"	"Dry Forest"	49.9544882388446	-13.2220008618723
"30"	"Dry Forest"	49.3744500135512	-13.1880059475694
"31"	"Dry Forest"	49.1364856134308	-13.7213011656963
"32"	"Dry Forest"	48.3673506773275	-13.946517472953
"33"	"Dry Forest"	48.4799588309559	-14.6349144875869
"34"	"Dry Forest"	48.5628214345692	-15.2616957200468
"35"	"Dry Forest"	48.8092845632653	-15.8268611703327
"36"	"Dry Forest"	48.6520580846144	-16.0733242990287
"37"	"Dry Forest"	48.227121655828	-15.9245965489535
"38"	"Dry Forest"	46.7483428836515	-17.4777391961677
"39"	"Dry Forest"	44.7341442112041	-17.7199529605759
"40"	"Dry Forest"	44.6958999326134	-17.7327010534395
"41"	"Dry Forest"	44.7978846755221	-18.0811489250443
"42"	"Dry Forest"	45.3588007615201	-18.3148639608768
"43"	"Dry Forest"	45.6477575330948	-19.5811745186601
"44"	"Dry Forest"	45.9112181189424	-20.3503094547635
"45"	"Dry Forest"	45.8177321046094	-21.1661873980333
"46"	"Dry Forest"	45.5670196116254	-21.3404113338357
"47"	"Dry Forest"	45.082592082809	-21.5571289125167
"48"	"Dry Forest"	44.9508617898852	-21.4211492553051
"49"	"Dry Forest"	44.955111154173	-20.9197242693372
"50"	"Dry Forest"	45.329055211505	-20.5797751263081
"51"	"Dry Forest"	45.3035590257779	-20.2738208975819
"52"	"Dry Forest"	44.4239406181901	-19.7681465473261
"53"	"Dry Forest"	43.8927700822071	-17.4479936461526
"54"	"Dry Forest"	44.487681082508	-16.2241767312479
"55"	"Dry Forest"	46.9693098266204	-15.2383242164635
"56"	"Dry Forest"	47.9211674271018	-13.5555759584696
"57"	"Dry Forest"	48.788037741826	-13.2836166440463
"58"	"Dry Forest"	48.7030504560687	-12.3487565007163
"59"	"Dry Forest"	49.2979614563696	-11.8558302433241
"60"	"Dry Forest"	50.0118546567307	-13.0456522439259
"61"	"Dry Forest"	49.9544882388446	-13.2220008618723
"62"	"Shrublands"	46.6739790086139	-25.2009587893598
"63"	"Shrublands"	45.2939979561302	-25.6450173574415
"64"	"Shrublands"	44.363387177088	-25.2668239358216
"65"	"Shrublands"	43.6962369838934	-24.4212004425368
"66"	"Shrublands"	43.6452446124391	-23.6265693207063
"67"	"Shrublands"	43.7514787196357	-23.5628288563883
"68"	"Shrublands"	43.1990613622134	-22.1520399128176
"69"	"Shrublands"	43.4710206766367	-21.3956530695779
"70"	"Shrublands"	43.7217331696206	-21.2809202338056
"71"	"Shrublands"	44.4536861682051	-20.0061109474465
"72"	"Shrublands"	44.3771976110236	-19.7893933687655
"73"	"Shrublands"	44.4048184788947	-19.7596478187504
"74"	"Shrublands"	45.2950602972021	-20.2759455797258
"75"	"Shrublands"	45.3226811650732	-20.5776504441642
"76"	"Shrublands"	44.9444877434534	-20.9069761764736
"77"	"Shrublands"	44.9370513559496	-21.4084011624415
"78"	"Shrublands"	45.0751556953052	-21.5656276410925
"79"	"Shrublands"	45.5000921240915	-21.3744062481386
"80"	"Shrublands"	45.5563962009057	-22.6173453023387
"81"	"Shrublands"	46.2511672619714	-23.5160858492218
"82"	"Shrublands"	45.6690043545341	-24.0939993923713
"83"	"Shrublands"	45.7603656867232	-24.3638340246506
"84"	"Shrublands"	46.3765235084634	-23.9346482315764
"85"	"Shrublands"	46.8588263551359	-24.2767220567494
"86"	"Shrublands"	46.608113862152	-24.3744574353703
"87"	"Shrublands"	46.6739790086139	-25.2009587893598
