identifier	XCOOR	YCOOR
Propithecus edwardsi	47.45	-21.35
Propithecus edwardsi	47.45	-21.35
Propithecus edwardsi	47.45	-21.35
Propithecus diadema	48.427	-18.792
Propithecus diadema	48.578	-18.198
Propithecus diadema	48.813	-18.695
Propithecus coquereli	47.143	-16.229
Propithecus coquereli	47.13333	-16.21667
Propithecus coquereli	47.143	-16.229
Propithecus coquereli	47.143	-16.229
Propithecus coquereli	47.05	-16.26667
Propithecus coquereli	46.793	-16.338
Propithecus coquereli	46.963	-16.227
Propithecus coquereli	46.963	-16.227
Propithecus tattersalli	49.66111	-13.20556
Propithecus coquereli	46.8	-16.25
Propithecus verreauxi	44.63333	-20.08333
Propithecus verreauxi	46.28333	-24.98333
Propithecus edwardsi	47.46667	-21.26667
Propithecus verreauxi	44.53333	-23.66667
Propithecus diadema	49.25	-14.43333
Propithecus diadema	49.25	-14.43333
Propithecus diadema	49.25	-14.43333
Propithecus verreauxi	46.3	-25
Propithecus deckenii	45.83333	-16.16667
Propithecus edwardsi	47.46667	-21.26667
Propithecus verreauxi	48.41667	-13.9
Propithecus verreauxi	43.9	-23.4333
Propithecus verreauxi	43.9	-23.4333
Propithecus diadema	48.6667	-18.1667
Propithecus diadema	48.6667	-18.1667
Propithecus diadema	47	-19
Propithecus diadema	47	-19
Propithecus verreauxi	47	-19
Propithecus diadema	48.6667	-18.1667
Propithecus verreauxi	47	-19
Propithecus coronatus	46.58074	-15.75915
Propithecus diadema	47	-19
Propithecus diadema	47	-19
Propithecus deckenii	46.5833	-24.5
Propithecus diadema	49.12104826	-18.83646195
Propithecus diadema	48.6667	-18.1667
Eulemur fulvus	48.48663	-18.91693
Eulemur mongoz	46.96533	-16.27722
Eulemur collaris	47.17419	-24.69654
Eulemur mongoz	46.78929	-16.32958
Eulemur fulvus	46.78259	-16.33596
Eulemur sanfordi	49.12979	-12.62815
Eulemur coronatus	49.03529	-12.64749
Eulemur rufifrons	45.34195	-22.56456
Eulemur rufifrons	45.34195	-22.56456
Eulemur rubriventer	47.41047	-21.2649
Eulemur rubriventer	47.40288	-21.43856
Eulemur albifrons	50.17112	-15.69765
Eulemur coronatus	49.11761	-12.84144
Eulemur fulvus	47.31719	-15.00047
Eulemur rubriventer	48.43622	-18.89639
Eulemur rufifrons	45.39316	-22.56172
Eulemur rubriventer	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rubriventer	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rubriventer	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.38333	-21.23333
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.38333	-21.23333
Eulemur rubriventer	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur rufus	47.45	-21.35
Eulemur fulvus	49.092	-18.048
Eulemur rubriventer	48.427	-18.792
Eulemur fulvus	48.427	-18.792
Eulemur fulvus	48.467	-18.702
Eulemur fulvus	48.813	-18.695
Eulemur rubriventer	48.578	-18.198
Eulemur fulvus	48.578	-18.198
Eulemur fulvus	47.143	-16.229
Eulemur mongoz	46.793	-16.338
Eulemur fulvus	46.793	-16.338
Eulemur mongoz	46.793	-16.338
Eulemur fulvus	47.143	-16.229
Eulemur fulvus	46.963	-16.227
Eulemur fulvus	46.793	-16.338
Eulemur fulvus	46.963	-16.227
Eulemur fulvus	47.143	-16.229
Eulemur coronatus	49.16667	-12.66667
Eulemur coronatus	49.16667	-12.66667
Eulemur coronatus	48.25	-13.33333
Eulemur coronatus	48.25	-13.33333
Eulemur fulvus	47	-24.40003
Eulemur fulvus	47	-24.40003
Eulemur fulvus	47	-24.40003
Eulemur fulvus	47	-24.40003
Eulemur fulvus	47	-24.40003
Eulemur mongoz	48.31833	-13.39917
Eulemur fulvus	48.1833	-21.35
Eulemur albifrons	49.43588	-15.40098
Eulemur albifrons	49.54745	-15.29067
Eulemur albifrons	49.53488	-15.4393
Eulemur albifrons	49.52945	-15.22608
Eulemur rubriventer	47.40019	-22.95006
Eulemur albifrons	49.6143	-15.1882
Eulemur rubriventer	49.43588	-15.40098
Eulemur albifrons	49.584	-15.03528
Eulemur rubriventer	49.6143	-15.1882
Eulemur rubriventer	49.584	-15.03528
Hapalemur griseus	48.36341	-18.92446
Hapalemur simus	47.41047	-21.2649
Hapalemur aureus	47.44556	-21.32099
Hapalemur aureus	47.45	-21.35
Hapalemur griseus	47.45	-21.35
Hapalemur simus	47.38333	-21.23333
