"identifier"	"homepolygon"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Microcebus lehilahytsara"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Phaner furcifer"	"Dry Forest"
"Phaner furcifer"	"Dry Forest"
"Avahi laniger"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur coronatus"	"Dry Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
"Hapalemur aureus"	"Moist Forest"
"Hapalemur aureus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
"Hapalemur aureus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Lemur catta"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
