"identifier"	"homepolygon"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus candidus"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus verreauxi"	"Dry Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur sanfordi"	"Dry Forest"
"Eulemur rufifrons"	"Shrublands"
"Eulemur rufifrons"	"Shrublands"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufifrons"	"Shrublands"
"Eulemur fulvus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur aureus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur aureus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Lemur catta"	"Shrublands"
"Lemur catta"	"Shrublands"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia rubra"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Varecia variegata"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur mustelinus"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
"Lepilemur microdon"	"Moist Forest"
