"identifier"	"Dry Forest"	"Moist Forest"	"Shrublands"
"Avahi laniger"	0	6	0
"Avahi occidentalis"	0	0	0
"Cheirogaleus major"	0	6	0
"Cheirogaleus medius"	0	0	0
"Daubentonia madagascariensis"	0	3	0
"Eulemur albifrons"	0	4	0
"Eulemur collaris"	0	0	0
"Eulemur coronatus"	0	0	0
"Eulemur fulvus"	0	5	0
"Eulemur mongoz"	0	0	0
"Eulemur rubriventer"	0	4	0
"Eulemur rufifrons"	0	0	3
"Eulemur rufus"	0	0	0
"Eulemur sanfordi"	1	0	0
"Hapalemur aureus"	0	2	0
"Hapalemur griseus"	0	9	0
"Hapalemur simus"	0	0	0
"Indri indri"	0	15	0
"Lemur catta"	0	0	2
"Lepilemur edwardsi"	0	0	0
"Lepilemur microdon"	0	2	0
"Lepilemur mustelinus"	0	3	0
"Lepilemur septentrionalis"	0	0	0
"Microcebus griseorufus"	0	0	0
"Microcebus lehilahytsara"	0	0	0
"Microcebus murinus"	0	2	0
"Microcebus ravelobensis"	0	0	0
"Microcebus rufus"	0	4	0
"Phaner furcifer"	0	0	0
"Propithecus candidus"	0	1	0
"Propithecus coquereli"	0	0	0
"Propithecus coronatus"	0	0	0
"Propithecus deckenii"	0	0	0
"Propithecus diadema"	0	48	0
"Propithecus edwardsi"	0	3	0
"Propithecus tattersalli"	0	0	0
"Propithecus verreauxi"	1	0	0
"Varecia rubra"	0	1	0
"Varecia variegata"	0	13	0
